MASTERWPID;CHILDWPID
ADELBERG_LAND;ADELBERG_START
ADELBERG_START;ADELBERG_LAND
BAUSENBERG_LAND;BAUSENBERG_START
BAUSENBERG_START;BAUSENBERG_LAND
BLAETTERSBERG_LAND;BLAETTERSBERG_START
BLAETTERSBERG_START;BLAETTERSBERG_LAND
BOPPARD_LAND;BOPPARD_START
BOPPARD_START;BOPPARD_LAND
BOPPARD_WEILER_LANDUNG;BOPPARD_WEILER_START
BOPPARD_WEILER_START;BOPPARD_WEILER_LANDUNG
BRILON_POPPENPERG_LAND;BRILON_POPPENPERG_START
BRILON_POPPENPERG_START;BRILON_POPPENPERG_LAND
BRUCHHAUSER_STEINE_LAND;BRUCHHAUSER_STEINE_SUED_START
BRUCHHAUSER_STEINE_LAND;BRUCHHAUSER_STEINE_SW_START
BRUCHHAUSER_STEINE_SUED_START;BRUCHHAUSER_STEINE_LAND
BRUCHHAUSER_STEINE_SW_START;BRUCHHAUSER_STEINE_LAND
BURGEN_LAND;BURGEN_START
BURGEN_START;BURGEN_LAND
BUSIGBERG_LAND;BUSIGBERG_START
BUSIGBERG_START;BUSIGBERG_LAND
CALMONTHOCHKREUZBREMM_LAND;CALMONTHOCHKREUZBREMM_START
CALMONTHOCHKREUZBREMM_START;CALMONTHOCHKREUZBREMM_LAND
DONNERSBERG_LAND1;DONNERSBERG_START
DONNERSBERG_LAND2;DONNERSBERG_START
DONNERSBERG_LAND3;DONNERSBERG_START
DONNERSBERG_MOLTKEFELSEN_LAND;DONNERSBERG_MOLTKEFELSEN_START
DONNERSBERG_MOLTKEFELSEN_START;DONNERSBERG_MOLTKEFELSEN_LAND
DONNERSBERG_START;DONNERSBERG_LAND1
DONNERSBERG_START;DONNERSBERG_LAND2
DONNERSBERG_START;DONNERSBERG_LAND3
DREISERWEIHER_LAND;DREISERWEIHER_START
DREISERWEIHER_START;DREISERWEIHER_LAND
DUCHROTH_LAND;DUCHROTH_START
DUCHROTH_START;DUCHROTH_LAND
EISENBERG_LAND;EISENBERG_START
EISENBERG_START;EISENBERG_LAND
ELPE_LAND;ELPE_START
ELPE_START;ELPE_LAND
ENTENBERG_LAND;ENTENBERG_START
ENTENBERG_START;ENTENBERG_LAND
ERLAU_LAND;ERLAU_START
ERLAU_START;ERLAU_LAND
ESCHBACH_LAND_OB;ESCHBACH_START
ESCHBACH_LAND_TOP;ESCHBACH_START
ESCHBACH_LAND_UNT;ESCHBACH_START
ESCHBACH_START;ESCHBACH_LAND_OB
ESCHBACH_START;ESCHBACH_LAND_TOP
ESCHBACH_START;ESCHBACH_LAND_UNT
FINKENBERG_LAND;FINKENBERG_START
FINKENBERG_START;FINKENBERG_LAND
GANGELSBERG_LAND;GANGELSBERG_START
GANGELSBERG_START;GANGELSBERG_LAND
GRAACH_LAND;GRAACH_START
GRAACH_START;GRAACH_LAND
GRINGLAY_LAND;GRINGLAY_START
GRINGLAY_START;GRINGLAY_LAND
GROSSER_KOPF_LAND;GROSSER_KOPF_START
GROSSER_KOPF_START;GROSSER_KOPF_LAND
HAARDSKOPF_LAND;HAARDSKOPF_START
HAARDSKOPF_START;HAARDSKOPF_LAND
HAHNBERG_LANDUNG;HAHNBERG_START
HAHNBERG_START;HAHNBERG_LANDUNG
HALDE_ENSDORF_LAND;HALDE_ENSDORF_START
HALDE_ENSDORF_START;HALDE_ENSDORF_LAND
HALDE_NORDDEUTSCHLAND_LAND;HALDE_NORDDEUTSCHLAND_START
HALDE_NORDDEUTSCHLAND_START;HALDE_NORDDEUTSCHLAND_LAND
HARSBERG_LANDUNG;HARSBERG_START
HARSBERG_START;HARSBERG_LANDUNG
HASLOCH_HECKENKOPF_LAND;HASLOCH_HECKENKOPF_START
HASLOCH_HECKENKOPF_START;HASLOCH_HECKENKOPF_LAND
HASLOCH_ROTTBERG_LAND;HASLOCH_ROTTBERG_START
HASLOCH_ROTTBERG_START;HASLOCH_ROTTBERG_LAND
HEINSHEIM_LAND;HEINSHEIM_START
HEINSHEIM_START;HEINSHEIM_LAND
HERDORF_SASSENROTH_LAND;HERDORF_SASSENROTH_START
HERDORF_SASSENROTH_START;HERDORF_SASSENROTH_LAND
HOCHSTETTEN_LAND;HOCHSTETTEN_START
HOCHSTETTEN_START;HOCHSTETTEN_LAND
HOENNINGEN_LAND;HOENNINGEN_START_OST
HOENNINGEN_LAND;HOENNINGEN_START_SUED
HOENNINGEN_START_OST;HOENNINGEN_LAND
HOENNINGEN_START_OST;HOENNINGEN_START_SUED
HOENNINGEN_START_SUED;HOENNINGEN_LAND
HOENNINGEN_START_SUED;HOENNINGEN_START_OST
HOHE_GEBA_LAND1;HOHE_GEBA_SW_START
HOHE_GEBA_LAND2;HOHE_GEBA_SW_START
HOHE_GEBA_LAND3;HOHE_GEBA_SW_START
HOHE_GEBA_SW_START;HOHE_GEBA_LAND1
HOHE_GEBA_SW_START;HOHE_GEBA_LAND2
HOHE_GEBA_SW_START;HOHE_GEBA_LAND3
HOHENOELLEN_LAND;HOHENOELLEN_START
HOHENOELLEN_START;HOHENOELLEN_LAND
HOHER_MEISSNER_LANDUNG;HOHER_MEISSNER_START
HOHER_MEISSNER_START;HOHER_MEISSNER_LANDUNG
KAUTENBACH_LAND;KAUTENBACH_START
KAUTENBACH_START;KAUTENBACH_LAND
KELLA_BERG_LANDUNG;KELLA_BERG_START
KELLA_BERG_START;KELLA_BERG_LANDUNG
KLUESSEARTH_LANDUNG;KLUESSEARTH_LANDUNG2
KLUESSEARTH_LANDUNG;KLUESSEARTH_START
KLUESSEARTH_LANDUNG2;KLUESSEARTH_LANDUNG
KLUESSEARTH_LANDUNG2;KLUESSEARTH_START
KLUESSEARTH_START;KLUESSEARTH_LANDUNG
KLUESSEARTH_START;KLUESSEARTH_LANDUNG2
KOENIGSTUHL_LAND;KOENIGSTUHL_START
KRAUSBERG_LAND;KRAUSBERG_START
KRAUSBERG_START;KRAUSBERG_LAND
KREUZBERG_LANDEPLATZ;KREUZBERG_NO_START
KREUZBERG_NO_START;KREUZBERG_LANDEPLATZ
KREUZBERG_SO_LANDEPLATZ;KREUZBERG_SO_START
KREUZBERG_SO_START;KREUZBERG_SO_LANDEPLATZ
KRONENBERG_LAND;KRONENBERG_START
KRONENBERG_START;KRONENBERG_LAND
LASSERGKUEPPCHEN_LAND;LASSERGKUEPPCHEN_START
LASSERGKUEPPCHEN_START;LASSERGKUEPPCHEN_LAND
LAUBENHEIM_LAND;LAUBENHEIM_START
LAUBENHEIM_START;LAUBENHEIM_LAND
LONGUICH_LAND;LONGUICH_START
LONGUICH_START;LONGUICH_LAND
MARING_NOVIAND_LAND;MARING_NOVIAND_START
MARING_NOVIAND_LAND;MARING_NOVIAND_START_SO
MARING_NOVIAND_LAND_SO;MARING_NOVIAND_START
MARING_NOVIAND_LAND_SO;MARING_NOVIAND_START_SO
MARING_NOVIAND_START;MARING_NOVIAND_LAND
MARING_NOVIAND_START;MARING_NOVIAND_START_SO
MARING_NOVIAND_START_SO;MARING_NOVIAND_LAND
MARING_NOVIAND_START_SO;MARING_NOVIAND_START
MARTINSTHAL_LAND_1;MARTINSTHAL_START
MARTINSTHAL_LAND_2;MARTINSTHAL_START
MARTINSTHAL_LAND_3;MARTINSTHAL_START
MARTINSTHAL_START;MARTINSTHAL_LAND_1
MARTINSTHAL_START;MARTINSTHAL_LAND_2
MARTINSTHAL_START;MARTINSTHAL_LAND_3
MEERFELDER_MAAR_LAND;MEERFELDER_MAAR_START_OST
MEERFELDER_MAAR_LAND;MEERFELDER_MAAR_START_SUED
MEERFELDER_MAAR_START_OST;MEERFELDER_MAAR_LAND
MEERFELDER_MAAR_START_OST;MEERFELDER_MAAR_START_SUED
MEERFELDER_MAAR_START_SUED;MEERFELDER_MAAR_LAND
MEERFELDER_MAAR_START_SUED;MEERFELDER_MAAR_START_OST
MEHRING_LAND;MEHRING_START
MEHRING_START;MEHRING_LAND
MELIBOKUS_LAND;MELIBOKUS_START
MELIBOKUS_START;MELIBOKUS_LAND
MICHAELAU_LAND;MICHAELAU_LAND2
MICHAELAU_LAND;MICHAELAU_START
MICHAELAU_LAND2;MICHAELAU_LAND
MICHAELAU_LAND2;MICHAELAU_START
MICHAELAU_START;MICHAELAU_LAND
MICHAELAU_START;MICHAELAU_LAND2
MOSBACH_LAND;MOSBACH_START
MOSBACH_START;MOSBACH_LAND
NASSAUER_BERG_LAND;NASSAUER_BERG_START
NASSAUER_BERG_START;NASSAUER_BERG_LAND
NEUMAGEN_LAND;NEUMAGEN_START
NEUMAGEN_LAND;NEUMAGEN_TOP
NEUMAGEN_START;NEUMAGEN_LAND
NEUMAGEN_START;NEUMAGEN_TOP
NEUMAGEN_TOP;NEUMAGEN_LAND
NEUMAGEN_TOP;NEUMAGEN_START
NORDHELLE_LAND;NORDHELLE_START
NORDHELLE_START;NORDHELLE_LAND
NORHEIM_LAND;NORHEIM_START
NORHEIM_START;NORHEIM_LAND
OCKFEN_LAND;OCKFEN_START
OCKFEN_START;OCKFEN_LAND
OFENTALER_BERG_LAND;OFENTALER_BERG_START
OFENTALER_BERG_START;OFENTALER_BERG_LAND
PETERSBERG_LANDUNG;PETERSBERG_START
PETERSBERG_START;PETERSBERG_LANDUNG
PFEFFELBACH_LAND;PFEFFELBACH_START
PFEFFELBACH_START;PFEFFELBACH_LAND
PFEFFELBACH_START;PFEFFELBACH_TOP
PFEFFELBACH_TOP;PFEFFELBACH_START
REICHENHAUSEN_LAND;REICHENHAUSEN_START
REICHENHAUSEN_START;REICHENHAUSEN_LAND
RIOL_LANDUNG;RIOL_START
RIOL_START;RIOL_LANDUNG
ROSENBERG_LAND;ROSENBERG_NOT_LAND
ROSENBERG_LAND;ROSENBERG_START
ROSENBERG_NOT_LAND;ROSENBERG_LAND
ROSENBERG_NOT_LAND;ROSENBERG_START
ROSENBERG_START;ROSENBERG_LAND
ROSENBERG_START;ROSENBERG_NOT_LAND
SCHRECKHOF_LAND;SCHRECKHOF_START
SCHRECKHOF_START;SCHRECKHOF_LAND
SCHRIESHEIM_LAND;SCHRIESHEIM_START
SCHRIESHEIM_START;SCHRIESHEIM_LAND
SERRIG_LAND;SERRIG_START
SERRIG_START;SERRIG_LAND
SPIELBERG_LAND;SPIELBERG_LAND_A
SPIELBERG_LAND;SPIELBERG_START
SPIELBERG_LAND_A;SPIELBERG_LAND
SPIELBERG_LAND_A;SPIELBERG_START
SPIELBERG_START;SPIELBERG_LAND
SPIELBERG_START;SPIELBERG_LAND_A
STACHELHARDT_LAND;STACHELHARDT_START
STACHELHARDT_START;STACHELHARDT_LAND
STOLZENBERG_LAND;STOLZENBERG_START
STOLZENBERG_START;STOLZENBERG_LAND
STUEPPEL_LAND;STUEPPEL_START
STUEPPEL_START;STUEPPEL_LAND
UERZIG_ERDEN_LAND;UERZIG_ERDEN_SO_START
UERZIG_ERDEN_LAND;UERZIG_ERDEN_SW_START
UERZIG_ERDEN_SO_START;UERZIG_ERDEN_LAND
UERZIG_ERDEN_SW_START;UERZIG_ERDEN_LAND
URPHAR_LAND_NO;URPHAR_START_NO
URPHAR_START_NO;URPHAR_LAND_NO
URPHAR_START_NW;URPHAR_LAND_NW
WANFRIED_AUE_LANDUNG;WANFRIED_AUE_START
WANFRIED_AUE_START;WANFRIED_AUE_LANDUNG
WENHOLTHAUSEN_LAND;WENHOLTHAUSEN_START
WENHOLTHAUSEN_START;WENHOLTHAUSEN_LAND
WERDOHL_LAND;WERDOHL_START
WERDOHL_START;WERDOHL_LAND
WIDDERN_LAND;WIDDERN_START
WIDDERN_START;WIDDERN_LAND
WILLINGEN_LAND;WILLINGEN_START
WILLINGEN_START;WILLINGEN_LAND
WIXBERG_LAND;WIXBERG_START_S
WIXBERG_LAND;WIXBERG_START_W
WIXBERG_START_S;WIXBERG_LAND
WIXBERG_START_S;WIXBERG_START_W
WIXBERG_START_W;WIXBERG_LAND
WIXBERG_START_W;WIXBERG_START_S
ZELTINGEN_RACHTIG_LAND;ZELTINGEN_RACHTIG_START
ZELTINGEN_RACHTIG_START;ZELTINGEN_RACHTIG_LAND
